Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,325.529999,331.609985,320.730011,328.209991,327.625031,70100
2019-05-02,328.529999,334.589996,322.070007,328.500000,327.914520,44100
2019-05-03,330.000000,336.709991,327.720001,333.899994,333.304901,73600
2019-05-06,329.130005,339.869995,321.299988,339.290009,338.685303,49500
2019-05-07,337.260010,346.309998,323.890015,339.589996,338.984772,108400
2019-05-08,331.109985,367.220001,328.209991,358.649994,358.010803,114000
2019-05-09,358.279999,371.450012,352.350006,369.529999,368.871399,83100
2019-05-10,369.880005,390.859985,369.880005,386.809998,386.120605,112000
2019-05-13,382.230011,404.250000,377.250000,399.859985,399.147339,103600
2019-05-14,402.179993,413.390015,363.950012,364.500000,363.850372,210700
2019-05-15,363.000000,363.000000,310.209991,326.220001,325.638580,248900
2019-05-16,325.510010,350.750000,316.799988,324.940002,324.360870,200400
2019-05-17,321.690002,338.000000,310.010010,313.049988,312.492065,230300
2019-05-20,312.000000,314.679993,294.799988,313.890015,313.330566,176900
2019-05-21,315.500000,323.380005,308.589996,310.549988,309.996490,122200
2019-05-22,311.790009,320.179993,306.130005,318.730011,318.161926,79300
2019-05-23,317.899994,319.029999,301.350006,304.399994,303.857483,123000
2019-05-24,306.359985,311.190002,303.459991,307.339996,306.792236,66400
2019-05-28,307.040009,314.000000,304.000000,305.660004,305.115234,89400
2019-05-29,305.000000,308.269989,297.920013,306.200012,305.654297,59300
2019-05-30,305.989990,312.859985,301.500000,311.730011,311.174438,63800
2019-05-31,309.619995,309.619995,300.299988,302.010010,301.471741,61400
2019-06-03,301.899994,304.010010,294.130005,298.459991,297.928040,75500
2019-06-04,299.000000,300.000000,291.230011,295.989990,295.462463,85500
2019-06-05,297.579987,312.000000,296.820007,308.790009,308.239655,83300
2019-06-06,309.880005,314.140015,309.820007,311.049988,310.495605,33700
2019-06-07,313.929993,317.470001,310.390015,310.529999,309.976563,40700
2019-06-10,310.799988,314.750000,308.000000,312.429993,311.873169,54200
2019-06-11,313.720001,324.000000,312.000000,317.589996,317.023956,56900
2019-06-12,317.589996,321.029999,310.470001,310.850006,310.295990,37000
2019-06-13,312.320007,318.369995,312.000000,314.130005,313.570129,35100
2019-06-14,314.899994,318.119995,303.579987,306.980011,306.432892,57300
2019-06-17,307.519989,313.000000,303.709991,310.339996,309.786896,59800
2019-06-18,312.380005,316.000000,303.079987,303.899994,303.358368,62100
2019-06-19,303.420013,305.000000,295.350006,299.799988,299.265656,82800
2019-06-20,300.299988,305.079987,297.000000,301.750000,301.212189,47000
2019-06-21,300.769989,302.459991,298.250000,302.420013,301.881012,53100
2019-06-24,302.609985,303.750000,296.000000,297.549988,297.019684,35400
2019-06-25,298.809998,304.600006,298.679993,300.109985,299.575104,36400
2019-06-26,301.480011,301.480011,292.339996,292.339996,291.818970,41500
2019-06-27,292.230011,302.290009,291.619995,301.929993,301.391846,56000
2019-06-28,300.929993,301.299988,297.619995,299.250000,298.716644,75000
2019-07-01,300.019989,311.390015,299.920013,311.130005,310.575500,44800
2019-07-02,311.489990,313.739990,308.119995,312.880005,312.322357,58800
2019-07-03,311.640015,316.510010,310.709991,315.000000,314.438568,25000
2019-07-05,315.000000,321.540009,308.179993,318.399994,317.832520,65600
2019-07-08,317.959991,319.010010,309.269989,310.489990,309.936615,63400
2019-07-09,314.869995,314.869995,305.670013,308.880005,308.329498,62400
2019-07-10,309.829987,317.200012,307.799988,311.619995,311.064606,107200
2019-07-11,311.929993,313.399994,304.019989,305.850006,305.304901,91700
2019-07-12,306.149994,306.279999,302.399994,304.649994,304.107025,54000
2019-07-15,304.720001,307.239990,303.369995,304.559998,304.017181,35600
2019-07-16,304.359985,305.220001,301.399994,302.940002,302.400085,24400
2019-07-17,303.239990,304.230011,299.570007,300.260010,299.724854,28200
2019-07-18,300.320007,303.000000,295.609985,297.200012,296.670319,33800
2019-07-19,295.670013,299.480011,290.760010,291.269989,290.750854,45800
2019-07-22,292.420013,296.399994,290.000000,292.859985,292.338013,41800
2019-07-23,294.040009,297.190002,288.040009,289.769989,289.253510,46600
2019-07-24,289.440002,290.519989,287.000000,290.279999,289.762634,35100
2019-07-25,290.410004,290.799988,288.350006,289.679993,289.412964,38500
2019-07-26,290.500000,296.000000,290.500000,293.000000,292.729889,64200
2019-07-29,293.079987,298.390015,290.089996,292.720001,292.450165,82900
2019-07-30,292.010010,296.989990,292.010010,294.450012,294.178589,66300
2019-07-31,294.480011,296.600006,290.010010,293.529999,293.259399,70000
2019-08-01,294.390015,296.209991,287.709991,288.329987,288.064178,85600
2019-08-02,287.429993,294.720001,283.459991,292.600006,292.330261,65200
2019-08-05,291.440002,291.440002,277.640015,280.279999,280.021637,90600
2019-08-06,281.950012,298.970001,281.950012,293.440002,293.169495,88200
2019-08-07,301.359985,360.000000,300.989990,324.790009,324.490601,368000
2019-08-08,326.100006,338.149994,323.600006,336.549988,336.239746,167300
2019-08-09,335.500000,338.920013,328.040009,333.760010,333.452332,66400
2019-08-12,333.730011,350.869995,332.660004,346.500000,346.180573,76500
2019-08-13,347.799988,356.119995,345.459991,352.130005,351.805389,59300
2019-08-14,346.160004,353.230011,343.390015,347.529999,347.209625,75500
2019-08-15,349.769989,360.910004,346.910004,356.929993,356.600952,63900
2019-08-16,357.140015,366.000000,355.179993,364.809998,364.473694,43600
2019-08-19,367.149994,382.510010,367.149994,368.910004,368.569916,112000
2019-08-20,369.040009,375.989990,363.119995,365.820007,365.482788,78400
2019-08-21,370.230011,371.130005,344.290009,349.600006,349.277740,104300
2019-08-22,349.149994,360.769989,342.980011,355.690002,355.362122,65900
2019-08-23,354.670013,358.500000,339.170013,339.170013,338.857361,64500
2019-08-26,341.709991,348.000000,337.609985,338.700012,338.387787,73100
2019-08-27,339.359985,343.950012,333.869995,339.820007,339.506744,84300
2019-08-28,340.500000,349.750000,339.529999,345.910004,345.591125,88800
2019-08-29,348.839996,352.279999,345.910004,346.600006,346.280487,56000
2019-08-30,348.899994,350.980011,334.140015,336.609985,336.299683,53600
2019-09-03,335.130005,341.209991,332.339996,333.709991,333.402374,57600
2019-09-04,335.630005,335.630005,311.440002,312.799988,312.511627,104100
2019-09-05,315.000000,316.730011,302.320007,305.829987,305.548065,80400
2019-09-06,306.470001,309.989990,295.329987,298.510010,298.234833,104200
2019-09-09,300.489990,300.489990,286.519989,292.450012,292.180420,124800
2019-09-10,291.739990,291.739990,282.260010,289.269989,289.003326,98500
2019-09-11,290.540009,298.000000,290.540009,294.630005,294.358398,69900
2019-09-12,296.049988,300.910004,295.640015,300.170013,299.893311,81500
2019-09-13,299.500000,301.890015,289.220001,290.959991,290.691772,61200
2019-09-16,289.239990,297.850006,285.750000,286.980011,286.715454,156200
2019-09-17,287.170013,289.399994,280.329987,286.059998,285.796295,121900
2019-09-18,294.350006,298.549988,285.000000,298.029999,297.755249,111200
2019-09-19,298.040009,314.489990,298.040009,301.380005,301.102173,99100
2019-09-20,300.399994,302.700012,292.040009,294.100006,293.828888,77300
2019-09-23,295.899994,301.950012,294.790009,294.869995,294.598175,42600
2019-09-24,297.579987,300.209991,292.529999,295.649994,295.377441,55600
2019-09-25,296.750000,299.470001,295.260010,296.709991,296.436462,42800
2019-09-26,296.510010,301.329987,296.160004,300.000000,299.723450,68600
2019-09-27,300.209991,305.429993,297.320007,301.160004,300.882385,59500
2019-09-30,301.269989,304.809998,298.230011,303.869995,303.589874,43100
2019-10-01,305.000000,305.980011,298.119995,302.230011,301.951416,39200
2019-10-02,300.200012,303.440002,292.010010,293.359985,293.089539,40200
2019-10-03,294.239990,297.299988,288.910004,293.420013,293.149536,50600
2019-10-04,294.500000,307.730011,294.470001,307.200012,306.916809,73200
2019-10-07,305.279999,305.279999,299.190002,301.809998,301.531769,38500
2019-10-08,300.850006,301.600006,294.179993,294.940002,294.668121,33500
2019-10-09,296.260010,296.470001,291.630005,294.829987,294.558197,25700
2019-10-10,294.829987,298.130005,291.809998,293.859985,293.589081,42300
2019-10-11,295.630005,297.130005,291.649994,292.399994,292.130432,30300
2019-10-14,292.600006,293.299988,285.549988,290.940002,290.671814,31500
2019-10-15,292.140015,294.450012,287.359985,287.829987,287.564667,43200
2019-10-16,287.920013,291.190002,285.000000,291.190002,290.921570,29300
2019-10-17,291.940002,295.299988,291.239990,291.890015,291.620941,33500
2019-10-18,292.049988,293.149994,287.010010,287.299988,287.035156,34700
2019-10-21,289.170013,294.130005,285.140015,290.649994,290.382050,64400
2019-10-22,290.809998,290.809998,279.480011,281.279999,281.020691,47300
2019-10-23,282.000000,282.000000,266.010010,271.190002,270.940002,86900
2019-10-24,272.679993,280.279999,270.269989,276.769989,276.769989,30700
2019-10-25,276.640015,280.000000,270.859985,272.079987,272.079987,29500
2019-10-28,273.350006,277.140015,271.109985,271.760010,271.760010,40400
2019-10-29,271.869995,275.160004,270.350006,271.160004,271.160004,30100
2019-10-30,270.829987,276.459991,269.000000,275.779999,275.779999,29500
2019-10-31,276.399994,276.399994,270.000000,274.359985,274.359985,35300
2019-11-01,273.630005,276.420013,270.619995,273.000000,273.000000,26800
2019-11-04,273.000000,274.649994,260.829987,262.100006,262.100006,44800
2019-11-05,262.790009,267.230011,256.500000,265.200012,265.200012,60100
2019-11-06,266.000000,276.250000,262.940002,266.700012,266.700012,128900
2019-11-07,268.489990,271.970001,261.920013,264.850006,264.850006,43000
2019-11-08,265.500000,273.200012,264.500000,272.149994,272.149994,54100
2019-11-11,272.690002,278.470001,269.079987,272.459991,272.459991,51300
2019-11-12,272.600006,277.500000,270.329987,276.100006,276.100006,45700
2019-11-13,275.350006,276.500000,269.820007,274.149994,274.149994,40200
2019-11-14,273.670013,277.989990,272.750000,275.309998,275.309998,32600
2019-11-15,276.279999,276.279999,271.489990,275.000000,275.000000,34000
2019-11-18,274.959991,277.329987,271.510010,272.750000,272.750000,35300
2019-11-19,273.049988,276.579987,272.660004,273.049988,273.049988,28400
2019-11-20,273.130005,277.000000,268.100006,270.910004,270.910004,43200
2019-11-21,271.079987,284.970001,270.000000,284.239990,284.239990,70300
2019-11-22,284.859985,284.950012,271.779999,271.779999,271.779999,55500
2019-11-25,271.279999,275.959991,271.279999,271.910004,271.910004,43300
2019-11-26,273.779999,276.130005,271.910004,273.540009,273.540009,30200
2019-11-27,273.899994,275.450012,272.049988,274.959991,274.959991,18200
2019-11-29,275.019989,275.019989,270.040009,270.160004,270.160004,11100
2019-12-02,270.000000,271.000000,262.899994,269.640015,269.640015,44300
2019-12-03,268.839996,271.799988,268.480011,270.029999,270.029999,28800
2019-12-04,270.709991,276.700012,270.709991,276.070007,276.070007,28100
2019-12-05,276.179993,278.000000,271.769989,273.910004,273.910004,30300
2019-12-06,276.690002,279.350006,272.440002,278.459991,278.459991,32300
2019-12-09,275.670013,281.929993,273.489990,274.299988,274.299988,27700
2019-12-10,273.839996,277.609985,272.950012,277.609985,277.609985,27400
2019-12-11,278.429993,279.839996,273.000000,273.859985,273.859985,33800
2019-12-12,273.359985,277.820007,271.850006,273.059998,273.059998,43800
2019-12-13,272.519989,278.510010,272.019989,277.019989,277.019989,26400
2019-12-16,277.040009,280.720001,273.470001,275.500000,275.500000,36000
2019-12-17,276.899994,279.500000,274.760010,278.100006,278.100006,25200
2019-12-18,278.179993,279.170013,273.880005,274.570007,274.570007,26100
2019-12-19,274.390015,275.500000,272.750000,272.839996,272.839996,42800
2019-12-20,274.220001,284.769989,274.200012,282.649994,282.649994,190100
2019-12-23,282.940002,285.989990,278.950012,284.799988,284.799988,31800
2019-12-24,284.559998,288.019989,282.000000,286.440002,286.440002,23900
2019-12-26,286.450012,295.000000,286.450012,292.640015,292.640015,90500
2019-12-27,293.149994,295.559998,291.299988,293.649994,293.649994,34600
2019-12-30,293.179993,293.179993,285.019989,289.000000,289.000000,35600
2019-12-31,288.579987,290.750000,283.130005,284.049988,284.049988,41900
2020-01-02,285.739990,286.290009,277.329987,282.399994,282.399994,42300
2020-01-03,279.769989,287.359985,277.480011,285.760010,285.760010,37500
